code,description,prerequisites,syllabus_outline
UMC622,"Covers vector spaces and linear transformations, Gram-Schmidt orthogonalization, similarity transformations and QR factorization, matrix conditioning and norms, eigenvalue algorithms (Krylov subspace methods), spectral theory, and singular value decomposition, with MATLAB labs applying these to image processing and big data.",Numerical Analysis,"Matrix Analysis | Techniques for Finding Eigenvalues | Spectral Theory of Matrices | Singular Value Decomposition | Real-Life Applications of Eigenvalues and SVD"
UMC632,"Covers financial markets fundamentals (interest rates, NPV, annuities), derivative valuation (forwards, futures, options), option pricing theory (binomial lattice, CRR model, Black-Scholes formula, Greeks), and portfolio optimization using the Markowitz mean-variance model and efficient frontier.",,"Basics of Financial Mathematics | Theory of Option Pricing | Portfolio Optimization"
UMC742,"Covers divisibility and primes, congruences (Chinese Remainder Theorem, Fermat's Little Theorem, Euler's function), primality testing algorithms, and public-key cryptosystems (RSA, Diffie-Hellman key exchange, digital signatures, elliptic curve cryptography). Labs implement classical, symmetric and asymmetric ciphers in C.",,"Divisibility and Primes | Congruences | Cryptography Basics | Public Key Cryptosystems"
UCS548,"Covers the data science process in R/RStudio, data cleaning and summarization with dplyr, data visualization (ggplot2/Matplotlib), correlation and regression, hierarchical and k-means clustering, dimension reduction (PCA, SVD), and working with HDFS/MapReduce for large datasets.",,"Data Science Introduction | Introduction to R and RStudio | Data Cleaning and Summarization | Data Visualization in R | Data Science Advanced Topics (Clustering, PCA, SVD)"
UCS654,"Covers probability and statistical distributions, sampling, hypothesis testing and ANOVA, regression modeling (linear, non-linear, multiple) and bias/variance tradeoffs, neural network fundamentals and loss functions, and an introduction to deep generative networks and transformers.",,"Probability and Statistical Distributions | Sampling, Estimation and Hypothesis Testing | Regression Modeling | Neural Network Basics | Deep Networks and Generative Models"
UCS772,"Covers NLP fundamentals and applications - sentiment analysis, LSTM/GRU-based text prediction, large language models, and named entity recognition - alongside computer vision fundamentals: CNNs, visual transformers and recognition applications. Labs implement models with Python and TensorFlow.",,"Fundamentals of Natural Language Processing | NLP Techniques and Applications | Computer Vision and its Applications"
UCS761,"Covers artificial neural networks and backpropagation, convolutional neural network architectures (AlexNet, VGG, GoogleNet, ResNet, MobileNet) with applications in healthcare and computer vision, recurrent networks (LSTM, GRU, attention, transformers) for time-series forecasting, and autoencoders and GANs for synthetic data generation.",,"Artificial Neural Networks | Convolutional Neural Networks | Recurrent Neural Networks | Autoencoders and GANs"
UCS539,"Covers accounting fundamentals (the accounting equation, financial statements), financial statement analysis, core finance concepts and capital structure decisions, the time value of money, and valuation of stocks and bonds. Practical sessions use proprietary trading software to practice order execution and basic strategies.",Basics of Microsoft Excel,"Introduction to Accounting | Summary Statements | Basics of Finance | Time Value of Money | Valuation"
UCS675,"Covers financial institutions and the monetary system, risk and return estimation, capital and money market instruments, and portfolio theory (optimal weights, efficient portfolios, introduction to pricing models). Practical sessions extend to technical analysis on live international derivatives.","Finance, Accounting and Valuation","Banks and Financial Institutions | Monetary System | Risk and Return | Capital and Money Markets | Portfolio Theory"
UCS658,"Covers the law of one price and no-arbitrage pricing, valuation of basic derivative instruments, and the fundamentals of option pricing. Practical sessions build and practice live derivatives trading strategies on proprietary trading software.","Finance, Accounting and Valuation; Financial Markets and Portfolio Theory","Law of One Price | Pricing and Valuation | Basics of Option Pricing"
UMC743,"Covers statistics for finance (correlation, OLS regression, probability moments), option pricing models and Greeks, financial time series analysis (AR, MA, ARMA, ARIMA, stationarity), and volatility modeling. Practical sessions cover algorithmic trading on a live proprietary platform.","Finance, Accounting and Valuation; Financial Markets and Portfolio Theory; Derivatives Pricing, Trading and Strategies","Refresher on Statistics | Option Pricing | Financial Time Series | Volatility"
UCS537,"Covers the shift from Waterfall to Agile and DevOps, the CAMS model (Culture, Automation, Measurement, Sharing), and the history and internals of version control - centralized vs distributed systems (SVN, Mercurial, Git). Labs implement core Git/distributed version control workflows.",,"Traditional Software Development | Rise of Agile Methodologies | Definition and Purpose of DevOps | CAMS | Typical Toolkit for DevOps | Source Code Management History and Overview"
UCS659,"Covers the build and release management lifecycle, dependency management with Maven, Gradle and Ant, build documentation and code coverage reporting, and the release lifecycle (prepare, perform, clean, rollback). Labs set up a Maven project and POM hierarchy.",,"Introduction to Build and Release Management | Dependency Management | Documentation and Reporting | Release Cycle"
UCS660,"Covers the software delivery pipeline and automation benefits, CI/CD practices and pipeline stages, test-driven development and JUnit, and common IDEs/tooling. Labs configure Jenkins jobs, pipelines and Git integration for a continuous integration server.",,"DevOps Automation | Automation Benefits | Continuous Integration and Continuous Deployment Introduction | Stages and Anatomy of CI/CD | Testing, Debugging and Refactoring | Frameworks and Tools"
UCS758,"Covers containerization (Docker, LXC) versus virtual machines, orchestration with Docker Swarm and Kubernetes (including AWS ECS/EKS), infrastructure provisioning concepts, and configuration management tools. Labs provision AWS infrastructure with Terraform and deploy containers with Kubernetes/Minikube.",,"Understanding Containers | Introduction to Containerization | Orchestration Tools | Introduction to Provisioning | On Premise Provisioning | Provisioning on Cloud | Provisioning and Configuration Management"
UCS542,"Covers HTML5 and CSS3 for user interface design, JavaScript and modern ES6, and frontend architecture with React (JSX, props, state, virtual DOM) plus REST/GraphQL APIs and Node.js - building complete, interactive, user-experience-focused web applications.",,"HTML and CSS | JavaScript | Frontend Architecture | REST API and JSX | Node.js"
UCS662,"Covers the software testing life cycle, manual versus automation testing, and test automation with Selenium WebDriver and TestNG (assertions, reporting, ANT/XSLT reports). Also covers sustainable, energy-efficient testing strategies and test-case/traceability design.",,"Introduction to Software Testing | Test Automation: Selenium and TestNG | Introduction to Selenium 3.x | Manual Testing | Test Design and Sustainable Testing Practices"
UCS745,"Covers DevOps principles and application release automation, the CI/CD toolkit, source code management with Git, and application containerization with Docker and Kubernetes (including AWS ECS/EKS and Azure Kubernetes Service), plus green/sustainable cloud computing practices.",,"Introduction to DevOps | Typical Toolkit for DevOps | Source Code Management | Application Containerization | Green Cloud Computing"
UCS551,"Covers GPU-accelerated data science using NVIDIA RAPIDS - data collection and preprocessing, supervised learning (regression, decision trees, random forests, XGBoost), unsupervised learning (k-means, DBSCAN, PCA, UMAP), and graph analytics with cuGraph, alongside deep learning fundamentals.",,"Introduction to GPU-Accelerated Data Science | Data Collection | Data Pre-processing (ETL) | Machine Learning - Supervised | Machine Learning - Unsupervised | Graph Analytics | Introduction to Deep Learning"
UCS664,"Covers NLP with deep learning: word embeddings (Word2Vec, GloVe), recurrent models (RNN, GRU, LSTM), and transformer architectures (self-attention, BERT, Megatron) via NVIDIA NeMo, applied to information retrieval, intent detection, machine translation and question answering.",,"Introduction to NLP and Deep Learning | Introduction to Natural Language Processing | NLP using Deep Learning (Embeddings, RNNs) | Advanced NLP using Deep Learning (Transformers) | Applications of NLP | NVIDIA Toolkits and SDKs"
UCS749,"Covers statistical and deep-learning speech recognition (HMMs, Jasper, QuartzNet, Citrinet, Conformer-CTC), speech synthesis (Tacotron-2, WaveGlow), and end-to-end conversational AI pipeline deployment with NVIDIA NeMo and Jarvis.",,"Fundamentals of Speech Processing | Automatic Speech Recognition | Applications of Speech Processing | Speech Synthesis | Jarvis Deployment"
UCS748,"Covers large language model foundations (transformer architecture, attention, pretraining and fine-tuning), text generation techniques, image generation (GANs vs LLM-based approaches), multi-modal generation, and prompt engineering (chain-of-thought, tree-of-thought). Labs fine-tune and evaluate generative models.",,"Introduction to Generative AI | Generative AI Models (LLMs) | Text Generation with LLMs | Image Generation with LLMs | Multi-Modal Generation | Prompt Engineering"
UCS547,"Covers GPU programming fundamentals (CUDA C/C++/Python, Numba), accelerated data science with RAPIDS, and deep learning model compression (pruning, quantization, distillation) with deployment via TensorRT and the Triton Inference Server for edge devices.",,"Introduction to GPU Computing and Model Compression | Image Processing and Parallel Programming | Machine Learning - Supervised (RAPIDS) | Deep Learning Model Compression | Optimization Framework (TensorRT, Triton)"
UCS671,"Covers deploying computer vision and CNN models to NVIDIA Jetson edge devices via JetPack and DeepStream, building JetBot robots for collision avoidance and path following, and advanced vision techniques - human pose estimation, depth/visual odometry, and SLAM.",,"Introduction to Embedded Vision on Jetson | Introduction to Edge AI | NVIDIA Toolkits and SDKs | Perception and Autonomous Navigation | Advanced Vision and SLAM"
UCS760,"Covers robot manipulation (inverse kinematics, gripping, task learning), reinforcement learning fundamentals (dynamic programming, Monte Carlo, temporal-difference methods, OpenAI Gym), and conversational AI (NLP and speech recognition/synthesis) deployed on edge robotics hardware.",,"Introduction to Reinforcement Learning and Conversational AI | Manipulation | Reinforcement Learning | Conversational AI (NLP) | Conversational AI (Speech Processing)"
UCS550,"Covers network attack techniques (network, application, social engineering, IoT), administrative and technical network security (access control, IAM, cryptography), firewalls, endpoint security across Windows/Linux/mobile/IoT, and the fundamentals of ethical hacking - footprinting, scanning, enumeration and vulnerability analysis. Labs cover SQL injection, firewall configuration and vulnerability scanning.",,"Network Attacks and Defence Strategies | Administrative Network Security | Technical Network Security | Network Perimeter Security | Endpoint Security (Windows, Linux, Mobile, IoT) | Data Security | Introduction to Ethical Hacking | Footprinting and Reconnaissance | Scanning Networks | Enumeration | Vulnerability Analysis"
UCS673,"Covers enterprise virtual, cloud and wireless network security, network traffic and log monitoring/analysis, incident response and forensic investigation, business continuity and risk management, and system hacking techniques - privilege escalation, malware, sniffing, social engineering and DoS/DDoS attacks. Labs cover AWS IAM, wireless security configuration and vulnerability analysis with Nessus.",,"Enterprise Virtual Network Security | Enterprise Cloud Network Security | Enterprise Wireless Network Security | Network Traffic Monitoring and Analysis | Network Logs Monitoring and Analysis | Incident Response and Forensic Investigation | Business Continuity and Disaster Recovery | Risk Management | Threat Assessment with Attack Surface Analysis | System Hacking | Malware Threats | Sniffing | Social Engineering | Denial of Service"
UCS674,"Covers cyberspace law and cybercrime jurisprudence, digital forensics fundamentals (forensic software/hardware, fingerprint and audio-video evidence), disk and file-system internals, and forensic tooling - Autopsy, The Sleuth Kit, EnCase and FTK - plus anti-forensics countermeasures.",,"Ethical Hacking | Intrusion in Cyber World | Laws Related to Cybercrime | Digital Forensics | Computer Forensics in Today's World | Computer Forensics Investigation Process | Hard Disks and File Systems | Forensic Tools and their Applications"
UCS750,"Covers wireless and mobile network hacking, IoT hacking methodology and countermeasures, memory and network forensics (Volatility, SIEM tools), web application attack investigation, dark web and database forensics, email crime investigation, and static/dynamic malware analysis.",,"Hacking Wireless and Mobile Networks | IoT Hacking | Forensics (Linux Memory/Network) | Investigating Web Attacks | Dark Web Forensics | Database Forensics | Investigating Email Crimes | Malware Forensics"
UEC646,"Covers connected-vehicle cyber-physical architecture, intra-vehicle networks (CAN, FlexRay, LIN) and inter-vehicle communication (automotive Ethernet, 5G, DSRC), VANET operation and V2V/V2I safety applications (collision warning, emergency braking), and vehicular cybersecurity (SECOC for CAN, MACsec/TLS for Ethernet).",,"Introduction to Connected Vehicles | Intra and Inter Vehicle Network | Network Architectures | VANET | V2V Application | V2I Application | Cyber Security Risk Management and Standards"
UCSXXX-4,"Covers automotive cybersecurity standards (AIS 189/190, ISO 21434), the automotive hacking/attack surface, cryptography for in-vehicle communication, V2X and VANET security (IEEE 1609/WAVE), AUTOSAR embedded security architecture, and cyber-risk management for autonomous driving systems.",,"Introduction to Automotive Cyber Security | Hacking and Automotive Attack Surface | Security and Privacy | Cyber Security for In-Vehicle Communication | Cyber Security for Intra-Vehicle Communication (V2X) | AUTOSAR Embedded Security | Cyber Security Risk Management and Standards"
UCS762,"Covers automotive cybersecurity standards (AIS 189/190, ISO 21434), the automotive hacking/attack surface, cryptography for in-vehicle communication, V2X and VANET security (IEEE 1609/WAVE), AUTOSAR embedded security architecture, and cyber-risk management for autonomous driving systems.",,"Introduction to Automotive Cyber Security | Hacking and Automotive Attack Surface | Security and Privacy | Cyber Security for In-Vehicle Communication | Cyber Security for Intra-Vehicle Communication (V2X) | AUTOSAR Embedded Security | Cyber Security Risk Management and Standards"
UCSXXX-3,"Covers EV/ICE vehicle component fundamentals, statistics and probability foundations for vehicle data, telematics and sensor data pipelines (GPS, battery, emissions), predictive modeling for battery range and fuel economy, and real-time monitoring and anomaly detection for vehicle safety.",,"Introduction to Truck Components and Data Analytics | Mathematical Foundation for Data Analytics | Data Collection and Management in Automobiles | Data Analytics Software and Tools | Data Analytics Pipeline for Vehicle Data | Predictive Modelling for Vehicle Performance | Real Time Monitoring and Control"
UCS679,"Covers EV/ICE vehicle component fundamentals, statistics and probability foundations for vehicle data, telematics and sensor data pipelines (GPS, battery, emissions), predictive modeling for battery range and fuel economy, and real-time monitoring and anomaly detection for vehicle safety.",,"Introduction to Truck Components and Data Analytics | Mathematical Foundation for Data Analytics | Data Collection and Management in Automobiles | Data Analytics Software and Tools | Data Analytics Pipeline for Vehicle Data | Predictive Modelling for Vehicle Performance | Real Time Monitoring and Control"
UCSXXX-2,"Covers ITS architecture and standards (C2C, C-ITS), integration with autonomous vehicles and advanced traveller information systems, connected and autonomous vehicle communication (DSRC, C-V2X, V2V/V2I/V2N/V2P), and supporting sensor technologies (LiDAR, RADAR, cameras) and traffic control systems.",,"Basics of ITS | Challenges and Opportunities in ITS | Systems Engineering in ITS and ITS Architecture | ITS Applications | Connected and Autonomous Vehicles | Supporting ITS Technologies | ITS Standards and Specifications"
UCS678,"Covers ITS architecture and standards (C2C, C-ITS), integration with autonomous vehicles and advanced traveller information systems, connected and autonomous vehicle communication (DSRC, C-V2X, V2V/V2I/V2N/V2P), and supporting sensor technologies (LiDAR, RADAR, cameras) and traffic control systems.",,"Basics of ITS | Challenges and Opportunities in ITS | Systems Engineering in ITS and ITS Architecture | ITS Applications | Connected and Autonomous Vehicles | Supporting ITS Technologies | ITS Standards and Specifications"
